Population,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,Region,Latitude,Longitude
Abazin,-0.12889294,-0.056305604,-0.014307404,-0.015276313,-0.010168201,0.046747779,-0.014112571,-0.039292769,-0.028389086,-0.0093586397,-0.0038627752,0.011453012,0.0064339243,-0.002503052,-0.0042079853,-0.0022696089,0.0075350183,0.003578449,-0.0018231743,-0.00044686408,-0.0030873289,0.00075241208,-0.0032940189,0.0035120601,-0.0025174288,WACA,44.2274,42.0579
Abkhazian,-0.17127716,-0.05383304,-0.032608933,-0.024600816,-0.03082109,0.073624405,-0.01917839,-0.04864263,-0.037494217,-0.010876869,-0.004259702,0.015132571,0.0078370551,-0.0011719359,-0.0062208959,0.0015026377,0.011914829,0.0016967721,-0.0037884141,-0.0015491288,-0.0053604173,0.00098635531,-0.0078401009,0.0048198983,-0.0040563221,WACA,43.0025,41.0234
Adygei,-0.1549859,-0.056133255,-0.018654559,-0.018641488,-0.015778321,0.053148789,-0.018489366,-0.043805502,-0.032867343,-0.0083582698,-0.006570784,0.010894698,0.0060931707,-0.00082164701,-0.0039427546,-4.0070338e-05,0.0091127962,0.00059447935,-0.0010028965,-0.0011535051,-0.0027690966,0.0015107254,-0.0035246001,0.0044343065,-0.0030677504,WACA,44.609,40.1
African_American,-0.077021391,0.60779867,0.030869556,-0.011469417,0.023105674,-0.025495239,0.063991753,-0.021864996,-0.010576144,-0.0087711544,0.00079909751,0.0084950037,0.0053914657,-0.0087579907,-0.011518828,0.0070801366,-0.0099195821,0.0090349491,0.00035911008,-0.0028599301,0.0012517536,-0.0028596576,-0.00043871234,0.0022360606,-0.0016026654,SSA,38.9072,-77.0369
African_American_Colorado,-0.077086886,0.62722447,0.029434716,-0.010330394,0.022229921,-0.027278214,0.068769775,-0.01937068,-0.0098723078,-0.01111522,5.6473331e-05,0.006767439,0.0061135855,-0.012412985,-0.011348809,0.0073253586,-0.012334652,0.0095019241,0.0026619349,-0.0012512194,-0.00035623026,-0.0012884442,0.00042155601,0.00056819938,-0.0014733788,SSA,39.7392,-104.9903
African_Caribbean,-0.070934984,0.68022564,0.029162049,-0.013279021,0.02403537,-0.024036111,0.073555893,-0.024992188,-0.011828425,-0.010740323,0.00081951984,0.0095992985,0.0064714256,-0.010186464,-0.014627123,0.0081451117,-0.014603222,0.01313243,0.0015460014,-0.0048136614,0.0014939579,-0.0057146262,-0.00041175234,0.003823385,-0.0020463469,SSA,17.997,-76.7936
Akha_Thailand,0.38953438,-0.016222246,0.006242237,-0.069437787,-0.037749208,-0.017276202,0.0012206987,0.0010068083,0.0063698709,-0.026408636,-0.012153059,-0.0021708538,-0.010120536,-0.0015761153,0.0096316107,0.014229144,0.0016636019,0.001758262,-0.0089601734,0.0014339372,-0.00060954957,-0.00019277485,-0.00081174035,-0.0046827468,-0.0017641516,EASEA,19.9205,99.8406
Alawite,-0.19216051,-0.023369382,-0.018037988,-0.041662672,-0.047035028,0.077461798,-0.0033752037,0.0078624462,0.0034974758,0.0094467625,0.0046082231,-0.0044823297,-0.0065153664,0.0048446169,0.0022952647,0.0039444239,0.00091518442,0.0029236689,-0.004821618,-0.0031578395,0.0005937171,-0.0064913981,0.0042939888,-0.0052901323,0.0059715752,MENA,35.5438,36.0038
Albanian,-0.19948233,-0.06487018,0.022188421,-0.039580799,-0.018331882,0.0098538569,-0.0016546257,0.0095079495,0.004637641,-0.0041132069,0.0088254171,0.0024775555,0.0029266727,0.00029104824,-0.0039822696,0.0024237949,0.0026901513,0.0058627403,0.0026158663,0.0038913129,-0.0071218755,-0.0036357256,0.007072134,-0.012272026,-0.00077521463,European,41.3275,19.8189
Albanian_Kosovo,-0.19875361,-0.066537823,0.021572704,-0.038852675,-0.015956059,0.0070567051,-0.0025501539,0.0064871668,0.003158477,-0.002929593,0.0085688854,0.0032665344,0.0025771894,-0.00093303733,-0.0017568693,0.001739164,0.0034709216,0.0060774414,0.0039242613,0.0019595817,-0.0065440819,-0.0043144848,0.0042220955,-0.011533795,0.00076758808,European,42.6629,21.1655
